,parent_asin,date_first_available,title,description,filename,main_category,categories,store,average_rating,rating_number,price,features,details,embeddings,image,__index_level_0__,local_image,download_ok
14114,B0BSKQ1K56,2023-01-18,"Nayu Feng Shui Pixiu Mantra Ring For Wealth And Protection Good Luck Money Amulet,Buddhist Heart Sutra RingBuddha Ring Adjustable",Specification:   Material: Copper   Color: Vintage silver   Weight: 9.5g   Ring Width: 10.6mm   Diameter: 19.8mm   Include：   1*Ring,meta_Home_and_Kitchen,AMAZON FASHION,['Home & Kitchen' 'Home Décor Products' 'Home Décor Accents' 'Tassels'],Nayu,4.0,5.0,17.99,"['Double Protection: Buddhist mantra plus feng shui Pixiu double protection, improve your good luck, protect your wealth, love and health, and keep away from disasters and bad luck.'
 'Feng shui Pi xiu: One of the mythical animals in ancient Chinese legends, it can bring good luck and wealth to people and protect people from disasters. More importantly, this creature can improve Feng Shui so that protect Wealth Love Health.'
 'Along with the Many Ancient Symbols: In addition to the many ancient symbols carved inside the ring, it also has six syllable spells. This spell will resonate and vibrate so that you can get along with the universe.'
 'Adjustable Opening Size: Whether male or female, Whether your fingers are thick or thin, The size of the Feng Shui Pixiu Mantra Ring must be suitable for you because its opening size can be adjusted. Size: Width 0.9cm, Thickness 0.12cm; Fingertail Adjustment: 18CM~33CM'
 ""Application: The Feng Shui Black Obsidian Wealth Bracelet is a good gift for family and friends.perfect for gifts, for mens women kids couple friendship feng shui bracelet, good luck bracelet perfect gift for anyone.It is used for anniversaries, graduations, Thanksgiving, retirement, Christmas, Valentine's Day, Father's Day, Mother's Day.""
 'Service: If you have any question,please contact with us ,We promise to try our best to solve all']","{'Department': 'girls', 'Date First Available': 'January 18, 2023'}","[ 0.01440708  0.03110132  0.00514101 ... -0.00356348  0.01457045
  0.00640712]",https://m.media-amazon.com/images/I/71FvDefh9yL._AC_UL1500_.jpg,36343,./images/0014114.jpg,True
85838,B0C3LNCN1H,2023-04-26,"ZRDZSW 78 Pack Letters & Numbers Shoe Charms for Men Boys Girls, ABC-Z, 0-9# Letters and Numbers Shoe Charms for Teens Women Adults, Toddler Pins for Kids Sandals Decoration","These 78 Letters and Numbers Shoes Charms are the perfect accessory for your shoes. With a complete set of letters and numbers, you can customize your Shoes to spell out your name, nickname, or any message you want to convey. These charms are made of high-quality PVC material, which is durable and long-lasting. They are easy to attach to your Shoes, and you can change them as often as you like. These charms are not only fun, but they also have practical benefits. By customizing your Shoes with your name or phone number, you can easily identify your shoes in a crowded place. Moreover, it can be a great way to express your personality and make your Shoes stand out from the crowd. So, whether you're looking to upgrade your Shoes game or want to add a personal touch to your footwear, these 78 Letters and Numbers Shoes Charms are an excellent choice. Order now and get ready to make a statement with your Shoes!",meta_Clothing_Shoes_and_Jewelry,AMAZON FASHION,"['Clothing, Shoes & Jewelry' 'Shoe, Jewelry & Watch Accessories'
 'Shoe Care & Accessories' 'Shoe Decoration Charms']",ZRDZSW,4.6,38.0,7.99,"['Unique and Adorable Design - The 40 Pcs Pink Preppy Charms Set features a lovely preppy shoe design that is perfect for adding a unique and adorable touch to any pair of shoes.'
 'Easy to Install - With their simple and easy-to-use design, these charms can be quickly and easily installed on any pair of shoes, making them a great choice for busy individuals who want to add a bit of flair to their footwear.'
 'Eco-Friendly Material - Made from high-quality, eco-friendly materials, these charms are a great choice for individuals who want to make a positive impact on the environment while still looking stylish.'
 ""Versatile Application - These charming shoe decorations are great for a variety of occasions, from casual outings to special events. They're also perfect for kids' shoes, making them a fun and playful addition to any child's wardrobe.""
 'Great Value - With 40 charming shoe decorations included in every set, this product offers an incredible value for anyone looking to add some fun and flair to their footwear without breaking the bank.']","{'Package Dimensions': '6 x 4 x 0.8 inches; 5.6 Ounces', 'Department': 'Mens', 'Date First Available': 'April 26, 2023'}","[ 0.09121993  0.01550991  0.00699269 ... -0.00813924  0.00983386
 -0.01877316]",https://m.media-amazon.com/images/I/81PwiwtEdAL._AC_UL1500_.jpg,216852,./images/0085838.jpg,True
72822,B07RLFY7CP,2023-05-27,925 Sterling Silver Simulated Turquoise Teardrop Earrings Ball Button Fine Jewelry For Women Gifts For Her,"ICECARATS DESIGNER JEWELRY 925 STERLING SILVER SIMULATED TURQUOISE TEARDROP EARRINGSMaterial Purity : 925Finish : PolishedStone Color 1 : BlueStone Quantity 1 : 2Length : 14.13 mmPlating : RhodiumFeature : SolidMaterial : Sterling SilverCompleteness : Complete (all stones included)Stone Shape 1 : TeardropStone Size 1 : 8.5 x 12 mmWidth : 10.13 mmProduct Type : JewelryJewelry Type : EarringsSold By Unit : PairGender : Women'sMaterial Color : WhiteEarring Closure : Post & Push BackEarring Type : ButtonStone Creation Method 1 : SyntheticStone Type (Other) 1 : Synthetic TurquoiseEarring Back Type : FrictionOUR MISSION & BELIEFSOur mission at IceCarats is to celebrate our customers and enhance their lives journey, honoring life's memorable occasions and enhancing the beauty of everyday through our extensive collection of quality jewelry.THE ICECARATS STORY - CRAFTSMANSHIP...QUALITY...VALUEJewelry is our passion - IceCarats is devoted to craftsmanship, quality, and value. Each piece hand stamped for authenticityMADE WITH LOVE FROM US TO YOU - QUALITY WITHOUT COMPROMISEWhen you purchase jewelry from the IceCarats collection, you buy with confidence - Lifetime Warranty and 30-Day Returns .ELEGANT GIFT PACKAGING - JUST ANOTHER REASON TO SAY YES!Receive Elegant Gift Packing On Every Order with IceCarats!",meta_Clothing_Shoes_and_Jewelry,AMAZON FASHION,"['Clothing, Shoes & Jewelry' 'Women' 'Jewelry' 'Earrings' 'Stud']",ICE CARATS,4.4,8.0,79.45,"[""HAPPY May 2023 Jewelry Deals Limited Supply Get It Now Before It's Sold Out; Solid 925 Sterling Silver ; Length 14.13mm ; Width 10.13mm ; Hypoallergenic ; Gifts Jewelry Earrings Ball Button""
 'Stunning Gift Packaging; Each item is hand-wrapped with you in mind; Ideal Cute Gift for Family; Anniversary; Her; Weddings; Birthdays; Wife; Mother; Mom; Daughter; Son; Sister; Grandma; Nana; Aunt; Best Friends and more'
 '100% Satisfaction Guarantee; Lifetime Warranty by IceCarats proudly an AMERICAN OWNED and Operated Company; Certificate of Authenticity card included with every purchase'
 'Premium Solid 925 Sterling Silver; Our jewelry is made from High Quality Premium Materials; Gems; Faceted Stones; Swarovski Crystals and Hand-Stamped for Authenticity as well as FTC law Approved; Fabulous Value-for-Money means happy customer'
 'Limited Collection Just For You; We have created this personalized collection to help you celebrate your first most memorable occasions from the heart and enhance your everyday fashion decorations color statement look']","{'Item Weight': '1 Pounds', 'Item model number': '7249480589255166413', 'Department': 'Womens', 'Date First Available': 'May 27, 2023', 'Manufacturer': 'IceCarats', 'Country of Origin': 'USA'}","[ 0.03784134  0.00528908 -0.03847674 ... -0.02459217  0.03252285
  0.00605391]",https://m.media-amazon.com/images/I/51OEM75rm7L._AC_UL1010_.jpg,187217,./images/0072822.jpg,True
32281,B0C2X3H11C,2023-04-18,Au-TOMOTIVE GOLD Rectangular Wave Key Ring for Jeep Rubicon,"Quickly identified as our wave key fob by the unique wave appearance of the colored face, this key chain is one of our most popular. Shiny chrome keychain with an anodized aluminum insert featuring small grooves on the colored face has an appealing swirl effect. Precision laser etched logo. Includes a black gift box",meta_Automotive,AMAZON FASHION,['Automotive' 'Interior Accessories' 'Keychains'],Au-TOMOTIVE GOLD,3.2,5.0,16.95,"['Made in the USA and Imported' 'Double Ring closure'
 'The key chain features a rectangle-shaped pendant in silver matte finished.'
 'One side of the key ring features an OEM style car logo on a matte silver background.'
 'Laser engraved logo will never fade. Size: 1-3/8"" x 3-1/4"".'
 'Brand new product. Gift box included — an excellent gift for auto enthusiasts.'
 'Backed by manufacturer warranty against defects in material and workmanship']","{'Color': 'Red', 'Material': 'Metal', 'Theme': 'Vehicle', 'Special Feature': 'Lightweight', 'Closure Type': 'Double Ring', 'Product Dimensions': '4.25 x 2.12 x 0.5 inches; 3 Ounces', 'Department': 'Unisex Adult', 'Date First Available': 'April 18, 2023'}","[ 0.02714891  0.03638111 -0.0493427  ... -0.01795584  0.02180259
  0.00668291]",https://m.media-amazon.com/images/I/51HW3iFte+L._AC_UL1000_.jpg,84895,./images/0032281.jpg,True
89936,B0CC44MTJN,2023-07-17,Bella Canvas womens B8800y,"65% polyester, 35% viscose jersey, 32 singles, , Features:, Side-seamed, Relaxed, drapey fit, Merrowed bottom hem, Sheering at racerback seam, Tear-away label, , Sizes: S-L ,",meta_Clothing_Shoes_and_Jewelry,AMAZON FASHION,"['Clothing, Shoes & Jewelry' 'Women' 'Clothing' 'Tops, Tees & Blouses'
 'Tanks & Camis']",Bella Canvas,4.1,29.0,9.91,"['65% polyester, 35% viscose jersey' 'Made in the USA or Imported'
 'Pull On closure' 'Machine Wash' '32 singles' 'Side-seamed'
 'Relaxed, drapey fit' 'Merrowed bottom hem']","{'Item model number': 'B8800Y', 'Department': 'womens', 'Date First Available': 'July 17, 2023', 'Manufacturer': 'Bella + Canvas'}","[ 0.03990211  0.0128996  -0.0008867  ...  0.04495606  0.02020375
 -0.0025375 ]",https://m.media-amazon.com/images/I/61UZb8XM5SS._AC_UL1500_.jpg,225422,./images/0089936.jpg,True
81272,B0BTTDHDKD,2023-02-03,"Gufesf Flip Flops for Women, Women Summer Comfortable Flip Flop Wedge Sandal Thong Slippers Comfy Outdoor Walking Flip Flops","Women's Casual Solid Crystal Roman Plus-size Flat Slippers Sandals Shoes Women Christmas Slippers 4 Pairs 7 8Women's Casual Solid Crystal Roman Plus-size Flat Slippers Sandals Shoes Women Christmas Slippers 4 PairsStyle: Princess,Casual,Simple,",meta_Clothing_Shoes_and_Jewelry,AMAZON FASHION,"['Clothing, Shoes & Jewelry' 'Women' 'Shoes' 'Sandals' 'Flip-Flops']",Gufesf,3.3,6.0,7.62,"[""【Flash Deal】Best Gifts for Women/Mom/Girl friends/Wife/Family Member ----- Today's Deals Big Promotion！——Buy 2 save 3%, buy 3 save 5%, buy 4 save 8%！""
 ""【Delivery】 2022 Women Fashion Sandals ✈✈ Don't miss it！！✈✈Standard Delivery: 6-17days ✈✈ Expedited Delivery:3-5 workiing days. (If you need the item urgently, please choose the expedited delivery.)""
 '【Size】 Please check our accurate size chart in product picture before your order. Different shoes styles, please the size arrcording to your foot type.'
 'Leather lining' 'Womens Sandals Flip Flops closure'
 ""Women's Simple Synthetic Leather Strap Slide Sandal Women's Cute Open Toes One Band Ankle Strap Flexible Summer Flat Sandals Womans Sandals Flip Flop with Orthotic For Flat Feet Plantar Fasciitis Arch Support Athletic Slide Sandals Relieve Flat Feet, High Arch Women's Elastic Flat Sandals Women's Comfort Slides Double Buckle Adjustable EVA Flat Sandals Women's Fine Glass Slingback Platform Sandal Women's Gladiator Flat Sandal Ladies Flip-flop with Concealed Orthotic Arch Support""
 'womens flip flops size 10 wedge womens flip flops size 10 comfortable womens flip flops size 7 waterproof slippers for women memory foam slippers for women fuzzy slippers for women open toe slippers for women washable slippers for women with arch support slippers for women slippers for women summer slippers for women indoor outdoor slippers for women memory foam closed back slippers for women memory foam bootie slippers for women memory foam open toe slippers'
 'comfortable shoes for women walking all day comfortable shoes for women wide width comfortable shoes for women standing all day office comfortable shoes for women for walking comfortable shoes for women for work with heels comfortable shoes for women standing all day dressy comfortable shoes for women standing all day comfortable shoes for women standing all day office comfortable shoes for women standing all day with wedge comfortable shoes for women standing all day dress'
 'casual shoes for women flats comfortable casual shoes for women loafer casual shoes for women wide width casual shoes for women wedge casual shoes for women size 11 casual shoes for women size 12 casual shoes for women casual shoes for women slip on loafer casual shoes for women flats comfortable casual shoes for women loafer casual shoes for women slip on loafer casual shoes for women slip on wide width casual shoes for women slip on flip flop sandals for women'
 'open toe slippers for women outdoor open toe slippers for women black white open toe slippers for women fuzzy open toe slippers for women wide open toe booties for women low heel open toe booties for women with heel open toe booties for women chunky heel open toe slippers for women indoor open toe slippers for women with arch support open toe slippers for women outdoor high heels for women dollars high heels for women pumps high heels for women sexy stripper']","{'Item model number': 'hKYHmWKRh', 'Department': 'Womens', 'Date First Available': 'February 3, 2023', 'Manufacturer': 'Gufesf'}","[ 0.01151961  0.07010505  0.0053741  ...  0.01372068  0.00643864
 -0.01288756]",https://m.media-amazon.com/images/I/719z2QX4bJL._AC_UL1500_.jpg,206827,./images/0081272.jpg,True
77690,B0C3MJ362Y,2023-04-26,adidas Men's Amplifier Fold Beanie,Say adidas in three languages. Stay warm and cozy between workouts in this men's soft knit beanie. A woven label and 3-Stripes root your look in sport.,meta_Clothing_Shoes_and_Jewelry,AMAZON FASHION,"['Clothing, Shoes & Jewelry' 'Men' 'Accessories' 'Hats & Caps'
 'Skullies & Beanies']",adidas,4.7,63.0,14.0,"['98% Polyester, 2% Spandex' 'Imported' 'Pull-On closure' 'Hand Wash Only'
 'This product is made with recycled content as part of our ambition to End Plastic Waste'
 'Center front woven badge of sport logo with language graphic'
 'High quality yarns with soft hand feel'
 '3-stripe back detail for added style']","{'Item model number': '978883', 'Department': 'Mens', 'Date First Available': 'April 26, 2023', 'Manufacturer': 'adidas'}","[ 0.01772581  0.02004749 -0.03319137 ...  0.02294651  0.00528826
 -0.00225565]",https://m.media-amazon.com/images/I/81F7g4L9SYL._AC_UL1500_.jpg,198850,./images/0077690.jpg,True
102127,B0BXKTM345,2023-03-06,Kigretn Lace Applique Tulle Flower Girl Dress for Kids Short Sleeves Princess Pageant Gowns Party Dresses,"Suitable for girls with 2-14ages,If you want to make a custom dress,please give me your size as follows: 1.Bust_____ inch 2.Waist_____ inch 3.Sleeve length___ inch 4.Hollow to floor___ inch We cannot accept your return request under the conditions as below: (1) Exceed 30 days after you received the product. (2)The product is Dirty, Damaged, Broken, Worn or Washed. (3)Personal reasons such as wrong measurement provided, wrong size or wrong color. OTHER NOTES: 1.The real color of the item may be slightly different from the pictures shown on website caused by many factors such as brightness of your monitor and light brightness. 2.Please allow slight deviation for the measurement data.",meta_Clothing_Shoes_and_Jewelry,AMAZON FASHION,"['Clothing, Shoes & Jewelry' 'Girls' 'Clothing' 'Dresses'
 'Special Occasion']",Kigretn,5.0,1.0,59.99,"['Tulle' 'Drawstring closure'
 'Features:Dress for flower girls is made of tulle and lace,The Applique embroidery on front superimposed Soft and multi-layer design tulle'
 'If you need this dress more puffy like the picture, please prepared a ball gown petticoat by yourself, thanks'
 'Customized Service：please make the measurements before ordering to ensure the correct size If you need to custom the dress,Please contact us by e-mail after you order the dress.'
 'Occasion：This beautiful girl dress is perfect for a flower girl dress,,pageant dress,birthday party dress,holiday,formal dresses for girls or any other special occasions'
 'About Us: If you have any question feel free to contact us.We will try our best to help you.Please believe that we are professional.']","{'Department': 'girls', 'Date First Available': 'March 6, 2023'}","[ 0.06609848  0.05915     0.02665049 ...  0.03355498  0.0032571
 -0.00542025]",https://m.media-amazon.com/images/I/51OvhPDK9sL._AC_UL1200_.jpg,251725,./images/0102127.jpg,True
84240,B0C64ZR2VL,2023-05-08,"Florsheim Men's, Santucci Plain Toe Oxford","Our Santucci Collection combines enduring styles and the latest in comfort technology. With modern profiles and features like high-tech insoles with rubber soles, these updated classics are designed to feel as good as they look.",meta_Clothing_Shoes_and_Jewelry,AMAZON FASHION,"['Clothing, Shoes & Jewelry' 'Men' 'Shoes' 'Oxfords']",Florsheim,4.2,14.0,90.07,"['Rubber sole' 'Leather upper'
 'Suedetec linings that are smooth to the touch'
 'Fully cushioned footbed with molded EVA heel cup'
 'Flexible rubber outsole with low dress heel']","{'Product Dimensions': '10 x 15 x 6 inches; 2 Pounds', 'Department': 'Mens', 'Date First Available': 'May 8, 2023', 'Manufacturer': 'Florsheim'}","[-0.00429608 -0.01370785 -0.0004043  ...  0.02063879 -0.01719533
 -0.01975867]",https://m.media-amazon.com/images/I/71icnktiMsL._AC_UL1441_.jpg,213409,./images/0084240.jpg,True
107945,B007RD8ALY,2023-03-27,14k Yellow Gold .011 Gauge Engravable Round Disc Charm Necklace Pendant Lasered Etched Fine Jewelry For Women Gifts For Her,"ICECARATS DESIGNER JEWELRY 14K YELLOW GOLD .011 GAUGE ENGRAVABLE ROUND DISC CHARMMaterial Purity : 14KFinish : Polished & Laser DesignLength : 19 mmCharm/Element Length : 13 mmCharm/Element Thickness : 0.011 gaugeCharm/Element Width : 13 mmFeature : SolidManufacturing Process : StampingMaterial : GoldThickness : 0.011Width : 13 mmEngravable : YesProduct Type : JewelryJewelry Type : Pendants & CharmsSold By Unit : EachPendant/Charm Type : PersonalizedTexture : TexturedBail Width : 1 mmMaterial Color : YellowBail Length : 4 mmFeature 2 : Polished BackOUR MISSION & BELIEFSOur mission at IceCarats is to celebrate our customers and enhance their lives journey, honoring life's memorable occasions and enhancing the beauty of everyday through our extensive collection of quality jewelry.THE ICECARATS STORY - CRAFTSMANSHIP...QUALITY...VALUEJewelry is our passion - IceCarats is devoted to craftsmanship, quality, and value. Each piece hand stamped for authenticityMADE WITH LOVE FROM US TO YOU - QUALITY WITHOUT COMPROMISEWhen you purchase jewelry from the IceCarats collection, you buy with confidence - Lifetime Warranty and 30-Day Returns .ELEGANT GIFT PACKAGING - JUST ANOTHER REASON TO SAY YES!Receive Elegant Gift Packing On Every Order with IceCarats!",meta_Clothing_Shoes_and_Jewelry,AMAZON FASHION,"['Clothing, Shoes & Jewelry' 'Women' 'Jewelry']",ICE CARATS,4.0,1.0,139.45,"[""HAPPY March 2023 Jewelry Deals Limited Supply Get It Now Before It's Sold Out; Solid 14 karat Yellow Gold ; Length 19mm ; Width 13mm ; Hypoallergenic ; Gifts Jewelry Necklaces Pendants Charms Engravable Discs Round Lasered Etched""
 'Stunning Gift Packaging; Each item is hand-wrapped with you in mind; Ideal Cute Gift for Family; Anniversary; Her; Weddings; Birthdays; Wife; Mother; Mom; Daughter; Son; Sister; Grandma; Nana; Aunt; Best Friends and more'
 '100% Satisfaction Guarantee; Lifetime Warranty by IceCarats proudly an AMERICAN OWNED and Operated Company; Certificate of Authenticity card included with every purchase'
 'Premium Solid 14k Yellow Gold; Our jewelry is made from High Quality Premium Materials; Gems; Faceted Stones; Swarovski Crystals and Hand-Stamped for Authenticity as well as FTC law Approved; Fabulous Value-for-Money means happy customer'
 'Limited Collection Just For You; We have created this personalized collection to help you celebrate your first most memorable occasions from the heart and enhance your everyday fashion decorations color statement look']","{'Item Weight': '1 Pounds', 'Item model number': '2350512653032210970', 'Department': 'Womens', 'Date First Available': 'March 27, 2023', 'Manufacturer': 'IceCarats', 'Country of Origin': 'USA'}","[ 0.02856384  0.00748301 -0.03228434 ... -0.0208828   0.03043609
  0.02376319]",https://m.media-amazon.com/images/I/51E3SZWyoyL._AC_UL1010_.jpg,264782,./images/0107945.jpg,True
