,Unnamed: 0,image,local_image,title,description,main_category,pred_title,bleu,rouge1,rougeL,textsim,llm_judge
0,0,https://m.media-amazon.com/images/I/71FvDefh9yL._AC_UL1500_.jpg,./images/0014114.jpg,"Nayu Feng Shui Pixiu Mantra Ring For Wealth And Protection Good Luck Money Amulet,Buddhist Heart Sutra RingBuddha Ring Adjustable",Specification:   Material: Copper   Color: Vintage silver   Weight: 9.5g   Ring Width: 10.6mm   Diameter: 19.8mm   Include：   1*Ring,AMAZON FASHION,Vintage Silver Copper Ring,0.0018894825370235533,0.08333333333333334,0.08333333333333334,0.37838050723075867,1
1,1,https://m.media-amazon.com/images/I/81PwiwtEdAL._AC_UL1500_.jpg,./images/0085838.jpg,"ZRDZSW 78 Pack Letters & Numbers Shoe Charms for Men Boys Girls, ABC-Z, 0-9# Letters and Numbers Shoe Charms for Teens Women Adults, Toddler Pins for Kids Sandals Decoration","These 78 Letters and Numbers Shoes Charms are the perfect accessory for your shoes. With a complete set of letters and numbers, you can customize your Shoes to spell out your name, nickname, or any message you want to convey. These charms are made of high-quality PVC material, which is durable and long-lasting. They are easy to attach to your Shoes, and you can change them as often as you like. These charms are not only fun, but they also have practical benefits. By customizing your Shoes with your name or phone number, you can easily identify your shoes in a crowded place. Moreover, it can be a great way to express your personality and make your Shoes stand out from the crowd. So, whether you're looking to upgrade your Shoes game or want to add a personal touch to your footwear, these 78 Letters and Numbers Shoes Charms are an excellent choice. Order now and get ready to make a statement with your Shoes!",AMAZON FASHION,78 Letters and Numbers Shoes Charms,0.004967396887406214,0.33333333333333337,0.33333333333333337,0.7554752826690674,3
2,2,https://m.media-amazon.com/images/I/51OEM75rm7L._AC_UL1010_.jpg,./images/0072822.jpg,925 Sterling Silver Simulated Turquoise Teardrop Earrings Ball Button Fine Jewelry For Women Gifts For Her,"ICECARATS DESIGNER JEWELRY 925 STERLING SILVER SIMULATED TURQUOISE TEARDROP EARRINGSMaterial Purity : 925Finish : PolishedStone Color 1 : BlueStone Quantity 1 : 2Length : 14.13 mmPlating : RhodiumFeature : SolidMaterial : Sterling SilverCompleteness : Complete (all stones included)Stone Shape 1 : TeardropStone Size 1 : 8.5 x 12 mmWidth : 10.13 mmProduct Type : JewelryJewelry Type : EarringsSold By Unit : PairGender : Women'sMaterial Color : WhiteEarring Closure : Post & Push BackEarring Type : ButtonStone Creation Method 1 : SyntheticStone Type (Other) 1 : Synthetic TurquoiseEarring Back Type : FrictionOUR MISSION & BELIEFSOur mission at IceCarats is to celebrate our customers and enhance their lives journey, honoring life's memorable occasions and enhancing the beauty of everyday through our extensive collection of quality jewelry.THE ICECARATS STORY - CRAFTSMANSHIP...QUALITY...VALUEJewelry is our passion - IceCarats is devoted to craftsmanship, quality, and value. Each piece hand stamped for authenticityMADE WITH LOVE FROM US TO YOU - QUALITY WITHOUT COMPROMISEWhen you purchase jewelry from the IceCarats collection, you buy with confidence - Lifetime Warranty and 30-Day Returns .ELEGANT GIFT PACKAGING - JUST ANOTHER REASON TO SAY YES!Receive Elegant Gift Packing On Every Order with IceCarats!",AMAZON FASHION,Designer Teardrop Earrings,0.0031533845205130038,0.21052631578947367,0.21052631578947367,0.6358163952827454,2
3,3,https://m.media-amazon.com/images/I/51HW3iFte+L._AC_UL1000_.jpg,./images/0032281.jpg,Au-TOMOTIVE GOLD Rectangular Wave Key Ring for Jeep Rubicon,"Quickly identified as our wave key fob by the unique wave appearance of the colored face, this key chain is one of our most popular. Shiny chrome keychain with an anodized aluminum insert featuring small grooves on the colored face has an appealing swirl effect. Precision laser etched logo. Includes a black gift box",AMAZON FASHION,Wave Key Fob with Chrome and Anodized Aluminum Insert,0.050712153369465586,0.2105263157894737,0.2105263157894737,0.5142924785614014,2
4,4,https://m.media-amazon.com/images/I/61UZb8XM5SS._AC_UL1500_.jpg,./images/0089936.jpg,Bella Canvas womens B8800y,"65% polyester, 35% viscose jersey, 32 singles, , Features:, Side-seamed, Relaxed, drapey fit, Merrowed bottom hem, Sheering at racerback seam, Tear-away label, , Sizes: S-L ,",AMAZON FASHION,"Relaxed, Drapey Fit Jersey",0.0,0.0,0.0,0.3077521324157715,2
5,5,https://m.media-amazon.com/images/I/719z2QX4bJL._AC_UL1500_.jpg,./images/0081272.jpg,"Gufesf Flip Flops for Women, Women Summer Comfortable Flip Flop Wedge Sandal Thong Slippers Comfy Outdoor Walking Flip Flops","Women's Casual Solid Crystal Roman Plus-size Flat Slippers Sandals Shoes Women Christmas Slippers 4 Pairs 7 8Women's Casual Solid Crystal Roman Plus-size Flat Slippers Sandals Shoes Women Christmas Slippers 4 PairsStyle: Princess,Casual,Simple,",AMAZON FASHION,Women's Casual Solid Crystal Roman Plus-size Flat Slippers Sandals,0.007894145539546107,0.19999999999999998,0.13333333333333333,0.6067032217979431,2
6,6,https://m.media-amazon.com/images/I/81F7g4L9SYL._AC_UL1500_.jpg,./images/0077690.jpg,adidas Men's Amplifier Fold Beanie,Say adidas in three languages. Stay warm and cozy between workouts in this men's soft knit beanie. A woven label and 3-Stripes root your look in sport.,AMAZON FASHION,Adidas Soft Knit Beanie,0.06257106818159155,0.4,0.4,0.626298189163208,2
7,7,https://m.media-amazon.com/images/I/51OvhPDK9sL._AC_UL1200_.jpg,./images/0102127.jpg,Kigretn Lace Applique Tulle Flower Girl Dress for Kids Short Sleeves Princess Pageant Gowns Party Dresses,"Suitable for girls with 2-14ages,If you want to make a custom dress,please give me your size as follows: 1.Bust_____ inch 2.Waist_____ inch 3.Sleeve length___ inch 4.Hollow to floor___ inch We cannot accept your return request under the conditions as below: (1) Exceed 30 days after you received the product. (2)The product is Dirty, Damaged, Broken, Worn or Washed. (3)Personal reasons such as wrong measurement provided, wrong size or wrong color. OTHER NOTES: 1.The real color of the item may be slightly different from the pictures shown on website caused by many factors such as brightness of your monitor and light brightness. 2.Please allow slight deviation for the measurement data.",AMAZON FASHION,Custom Dress Maker,0.0014911434751178384,0.10526315789473684,0.10526315789473684,0.4646889567375183,1
8,8,https://m.media-amazon.com/images/I/71icnktiMsL._AC_UL1441_.jpg,./images/0084240.jpg,"Florsheim Men's, Santucci Plain Toe Oxford","Our Santucci Collection combines enduring styles and the latest in comfort technology. With modern profiles and features like high-tech insoles with rubber soles, these updated classics are designed to feel as good as they look.",AMAZON FASHION,Santucci Collection: Timeless Styles Meets Modern Comfort,0.033031643180138064,0.14285714285714285,0.14285714285714285,0.40058454871177673,2
9,9,https://m.media-amazon.com/images/I/51E3SZWyoyL._AC_UL1010_.jpg,./images/0107945.jpg,14k Yellow Gold .011 Gauge Engravable Round Disc Charm Necklace Pendant Lasered Etched Fine Jewelry For Women Gifts For Her,"ICECARATS DESIGNER JEWELRY 14K YELLOW GOLD .011 GAUGE ENGRAVABLE ROUND DISC CHARMMaterial Purity : 14KFinish : Polished & Laser DesignLength : 19 mmCharm/Element Length : 13 mmCharm/Element Thickness : 0.011 gaugeCharm/Element Width : 13 mmFeature : SolidManufacturing Process : StampingMaterial : GoldThickness : 0.011Width : 13 mmEngravable : YesProduct Type : JewelryJewelry Type : Pendants & CharmsSold By Unit : EachPendant/Charm Type : PersonalizedTexture : TexturedBail Width : 1 mmMaterial Color : YellowBail Length : 4 mmFeature 2 : Polished BackOUR MISSION & BELIEFSOur mission at IceCarats is to celebrate our customers and enhance their lives journey, honoring life's memorable occasions and enhancing the beauty of everyday through our extensive collection of quality jewelry.THE ICECARATS STORY - CRAFTSMANSHIP...QUALITY...VALUEJewelry is our passion - IceCarats is devoted to craftsmanship, quality, and value. Each piece hand stamped for authenticityMADE WITH LOVE FROM US TO YOU - QUALITY WITHOUT COMPROMISEWhen you purchase jewelry from the IceCarats collection, you buy with confidence - Lifetime Warranty and 30-Day Returns .ELEGANT GIFT PACKAGING - JUST ANOTHER REASON TO SAY YES!Receive Elegant Gift Packing On Every Order with IceCarats!",AMAZON FASHION,IceCarats 14K Yellow Gold Engraved Round Disc Charm,0.03857036702189856,0.4999999999999999,0.4999999999999999,0.7178387641906738,3
10,10,https://m.media-amazon.com/images/I/71jjAunkgmL._AC_UL1500_.jpg,./images/0085495.jpg,Jag Jeans Women's Maddie Pull-on Bermuda Short,"Jag Maddie Mid Rise Bermuda Pull-On Short - Your new everyday short, Maddie is a comfortable pull-on with our Best Kept Secret Technology. That means an elastic waistband that not only smooths and flatters, but also acts as a belt. This helps the short sit in place and stay there. Finished with a chino-inspired front for a clean, modern look.",AMAZON FASHION,Maddie Mid Rise Bermuda Pull-On Short,0.045480190470279055,0.6250000000000001,0.5,0.7733246088027954,4
11,11,https://m.media-amazon.com/images/I/61MeEuZRq-L._AC_UL1500_.jpg,./images/0004529.jpg,SUNGAIT Kids Polarized Aviator Sunglasses with Case for Boys Girls Age 3-10 Unbreakable Frame UV400 Protection,"SUNGAIT is always devoting to offering Amazon users products with low cost but high performance. We supply with kinds of round polarized sunglasses for Men and Women. Buying SUNGAIT sunglasses, you could not only receive a quality product but also enjoy our exceptional customer service",AMAZON FASHION,SUNGAIT Sunglasses,0.00016215809237314185,0.21052631578947367,0.21052631578947367,0.6178300380706787,2
